,text
101,"Я подписываю потому, что я живу в Свиблово! Я люблю свой район! Я ценю свой район и не хочу, чтоб его уничтожали!  Не хочу чтоб уничтожали нас, а этот проект уничтожает нас-жителей Свиблово. Из зеленого, спального района хотят сделать бетонный транзитный район. ОСТАНОВИТЕСЬ!!! Не губите то, что вы не создавали!!!! Я хочу жить и дышать!!! Я хочу, чтоб мои дети дышали и росли здоровыми! Это же не мыслимо прокладывать транзитные дороги по придомовым территориям и вдоль школ. Не мыслима такая плотность населения на район (учитывая ещё не полностью заселенный Лайф и не заселённый Сильвер, так это вообще ад).  Яю1-й ботанический проезд-это заповедная зона. Только больная голова могла даже мысль допустить, что его можно расширять и тем более делать транзитным. Там Яуза и грунтовые воды. Яуза погибнет! Оставьте нас в покое!!!! Отстаньте от нас и наших детей!!! Вы не имеете права губить нас и наших детей!!!! Этими проектами хотят создать жителям Свиблово адские условия жизни и в итоге нас хотят вынудить бежать из района и хотят захапать наши собственности! Варвары!!!Преступники жадные до денег хотят уничтожить нашу Москву!!! Уберите свои грязные руки от нашего Свиблово!!!"
102,"Я против ухудшения экологической ситуации в районе. Я против расширения дороги Лазоревый проезд  и прохождение ее ещё ближе к домам, я против вырубки деревьев и уничтожение сквера! Этот маленький островок где дети спокойно играют после школы, и мамы с малышами могут спокойно погулять и дойти до парка. Уголок спокойствия и умиротворения в шумной Москве, такие места надо беречь, а не уничтожать! Также против увеличения этажности домов без учёта численности детей которые пойдут в сады и школы."
103,Против застройки!!
104,Все время был хороший зеленый район.<br />Оставьте его зеленым
105,Считаю недопустимой застройку района в предложенном виде!
106,Это беспредел! Люди против!
107,"Я подписываюсь, потому что я живу в Свиблово, и мне не всё равно что случится с моим районом."
108,Я против варварской застройки!
109,"Перенаселение Москвы - это мина замедленного действия! <br />Застройка Свиблово, в нынешнем её виде, это появление ещё одной асфальтобетонной резервации, непригодной для нормалтной жизни!"
110,Остановить преступную застройку района Свиблово !
111,Свиблово дыши.
112,"Недавно на Речном вокзале наблюдали похожую &quot;точечную застройку&quot;...  (((. Один город - одни проблемы... Грустно смотреть на превращение тихих спальных районов в шумящие, переполненные муравейники..."
113,"Живем в Свиблово, хотелось бы продолжать жить в зеленом и красивейшем районе, а не среди асфальта, плитки и бетона. Нужно же сохранять то что есть, а не делать повсеместное гетто!"
114,Я здесь живу
115,Беспределище!!! 
116,ОСТАНОВИТЬ!!! ПРЕКРАТИТЬ ЧУДОВИЩНУЮ ЗАСТРОЙКУ УНИЧТОЖЕНИЯ  МОСКВЫ! ОСТВЬТЕ В ПОКОЕ 5ЭТАЖНЫЕ ДОМА!!!!
117,"Я живу в этом районе с рождения, и мне больно видеть, что сейчас с ним происходит."
118,Я за экологию
119,"При виде с Игарского проезда горизонт, заканчивающийся уже на проезде Серебрякова, сплошь застроен многоэтажными домами. В последние годы с тревогой наблюдаю за безумой застройкой Свиблова. Считаю, пора остановиться."
120,Не хочу транзитных дорог в моем районе!
121,"Я против реновации категорически.  Выбирают &quot; Лакомые&quot;  куски земли для застройки под видом не пригодности наших домов... Нам достанутся дома не равно ценные тем,  что отнимут у нас.  Качество строительства в СССР был очень высоким,  строго конролировалось - старались,  действительно,  для людей.  Я за справедливость,  честную и адекватную замену.  Повернитесь к людям. <br />"
122,Против расширения дорог рядом с жилыми домами по Лазоревому проезду.
123,"Я против застройки Москвы, ведущей к перенаселению города и ухудшению его экологии!"
124,"Хочется, чтобы Москва была для москвичей, а не для транзитников."
125,Хочу сохранить свой двор и в целом свой любимый город от бездумной и безумной точечной застройки
126,"А, что вы хотите от бандитов? Соблюдения закона? Власти, по-сути, убивают нас и наших детей, а мы только митингуем и петиции пишем. "
127,Я против уничтожения зелёного двора.
128,Точечная застройка душит москвичей!!!! 
